,News,Links,Main Link
0,"Coronavirus live updates: Congress leader Ghulam Nabi Azad tests positive for Covid
Reference: Times of India
Updated: 13 minutes ago
",https://news.google.com/articles/CBMiWGh0dHBzOi8vdGltZXNvZmluZGlhLmluZGlhdGltZXMuY29tL2luZGlhL2Nvcm9uYXZpcnVzLWxpdmUtdXBkYXRlcy9saXZlYmxvZy83ODY5MTU4NS5jbXPSAVxodHRwczovL3RpbWVzb2ZpbmRpYS5pbmRpYXRpbWVzLmNvbS9pbmRpYS9jb3JvbmF2aXJ1cy1saXZlLXVwZGF0ZXMvYW1wX2xpdmVibG9nLzc4NjkxNTg1LmNtcw?hl=en-IN&gl=IN&ceid=IN%3Aen,NA
1,"Peak Festive Season Threatens to Take India’s Coronavirus Load Past US to World High in a Fortnight
Reference: News18
Updated: 6 hours ago
",https://news.google.com/articles/CBMikQFodHRwczovL3d3dy5uZXdzMTguY29tL25ld3MvaW5kaWEvcGVhay1mZXN0aXZlLXNlYXNvbi10aHJlYXRlbnMtdG8tdGFrZS1pbmRpYXMtY29yb25hdmlydXMtbG9hZC1wYXN0LXVzLXRvLXdvcmxkLWhpZ2gtaW4tYS1mb3J0bmlnaHQtMjk3MDc3Ni5odG1s0gGVAWh0dHBzOi8vd3d3Lm5ld3MxOC5jb20vYW1wL25ld3MvaW5kaWEvcGVhay1mZXN0aXZlLXNlYXNvbi10aHJlYXRlbnMtdG8tdGFrZS1pbmRpYXMtY29yb25hdmlydXMtbG9hZC1wYXN0LXVzLXRvLXdvcmxkLWhpZ2gtaW4tYS1mb3J0bmlnaHQtMjk3MDc3Ni5odG1s?hl=en-IN&gl=IN&ceid=IN%3Aen,NA
2,"Coronavirus vaccine update: Chinese vaccine shows positive results, US govt probes Vaxart's tall claims
Reference: India Today
Updated: 7 hours ago
",https://news.google.com/articles/CBMiiQFodHRwczovL3d3dy5pbmRpYXRvZGF5LmluL2Nvcm9uYXZpcnVzLW91dGJyZWFrL3N0b3J5L2Nvcm9uYXZpcnVzLXZhY2NpbmUtdXBkYXRlLWNoaW5lc2UtY25iZy1yZXN1bHRzLW5ld3MtdmF4YXJ0LXByb2JlLTE3MzIwNjgtMjAyMC0xMC0xNtIBjQFodHRwczovL3d3dy5pbmRpYXRvZGF5LmluL2FtcC9jb3JvbmF2aXJ1cy1vdXRicmVhay9zdG9yeS9jb3JvbmF2aXJ1cy12YWNjaW5lLXVwZGF0ZS1jaGluZXNlLWNuYmctcmVzdWx0cy1uZXdzLXZheGFydC1wcm9iZS0xNzMyMDY4LTIwMjAtMTAtMTY?hl=en-IN&gl=IN&ceid=IN%3Aen,NA
3,"‘Even Pak, Afghanistan handled Covid-19 better’: Rahul Gandhi’s dig at govt over IMF’s India projec...
Reference: Hindustan Times
Updated: 5 hours ago
",https://news.google.com/articles/CAIiELnGZkpErrY9P2N6ajTFAKYqFggEKg4IACoGCAoww7k_MMevCDDpywE?hl=en-IN&gl=IN&ceid=IN%3Aen,NA
